Exp	triplicate	sm	sm295	sm302	sm309	sm295&302	sm295&309	sm302&309	sm295&302&309	t477	m477	t491	m491	Total SpC
#The symbol # is used to indicate a comment
A	1	29.16	31	16	57	14	34	63	46	591.24	180	65.32	7	19481
A	2	202.8	25	30	99	10	26	105	43	797.16	288	57.51	9	26394
#A	3	175.08	19	26	95	5	34	81	48	734.76	192	34.08	5	28970
B	1	18.52	0	0	11	0	1	16	6	139.36	9	123.24	32	14554
B	2	37.04	0	1	31	2	1	31	15	321.36	66	305.24	83	18717
B	3	39.44	0	1	17	1	3	37	17	374.92	85	347.36	114	21717
C	1	7.08000000000001	5	5	28	2	7	25	10	374	19	374	19	7910
C	2	10.64	10	4	26	5	9	27	9	397	27	397	27	9223
C	3	6.44000000000001	9	4	24	4	7	29	7	335	16	335	16	7109
